,Date,Name,Reviews,Stars
172,23 September 2018,Biswajeet Rana,"The fridge is good and also saves power and friendly on monthly e-bill, looks neat and also is spacious but one big user-unfriendliness is that after defrost, the water storage container is not easily removable! This is pretty strange as even 20 years old Alwyn fridges or Videocon ones have it simple and detachable. The water dispenser is actually fixed with 2 screws and one has to open it everytime. It is a pain.",2.0 out of 5 stars
173,5 September 2018,Gunjan Pandey,"I bought this product from Amazon, fridge was working well but after 3 months it stop working .I complain service engineer visit and after knowing I bought it online . service centre is saying it's due to physical damage. And I have to pay 8000..

If it's like that why we purchase online product..",1.0 out of 5 stars
174,27 September 2017,Vishnukant sharma,,5.0 out of 5 stars
175,18 August 2018,Amazon Customer,"Very pleased with it. Its really light with suprisingly low power rating (60W). In fact so light that with the strong door seal when you open the fridge the whole thing moves. That could also be because its not on firm ground yet so i'm not taking away any stars. The reason for two less stars is because of Samsung customer care (i had a chat with product expert on website), who refused to provide any info on this model thats not listed on their site. Even refused to acknowledge its existence! Regardless, I recommend this fridge for extremely high efficiency - only 198 units / yr and its ability to function on inverter.",3.0 out of 5 stars
176,The manufacturer commented on the review below,Harjinder paul,I upload a photo Samsung 212 L refrigerator this part is mising I completed Samsung care but not salushn,1.0 out of 5 stars
177,6 October 2018,manish Agrawal,"Like:- your minimum price of products range available always.
Dislike:- aapka freeze ki delivery dene aaya Banda sadak par hi freeze patak kar jaane lag rha tha. Aur sirf 1st floor par ghar me rakhwane se mujhe mna kr rha tha. Jab ki aapke offer me installation tak ka charge mujhse already Liya ja Chuka tha. Fir Baad me bahas k Baad me rakhwaya gya.",3.0 out of 5 stars
178,6 October 2018,Francisco,Nobody came for connecting the fridge. So now I have a big box sitting in my kitchen waiting for the technician to plug it in as I was told I can not do it myself.,1.0 out of 5 stars
179,21 December 2018,Monika,I have received the damaged product. The Refrigerator has dents all over its body.,1.0 out of 5 stars
180,20 October 2017,Suresh Kumar,I am using this since a week..for every 10-20 mins it gives sound like small ballon blast..no replacement option.. Contacted SAMSUNG customer service agent visited to check the performance. They said it's a default problem in single door refrigerator..is it so??? Is anyone of you facing the same problem?,1.0 out of 5 stars
181,21 November 2018,Amazon Customer,Very super . Refrigerator as I am expected.. Good from Samsung ... Amazon amazing delivery within 8 hours of order placed never expected delivery high speed... Somewhat heating on sides of refrigerator but it's not complaint it's moisture evaporation... Highly recommended to buy... Love Samsung and Amazon,5.0 out of 5 stars
182,23 September 2018,Biswajeet Rana,"The fridge is good and also saves power and friendly on monthly e-bill, looks neat and also is spacious but one big user-unfriendliness is that after defrost, the water storage container is not easily removable! This is pretty strange as even 20 years old Alwyn fridges or Videocon ones have it simple and detachable. The water dispenser is actually fixed with 2 screws and one has to open it everytime. It is a pain.",2.0 out of 5 stars
183,5 September 2018,Gunjan Pandey,"I bought this product from Amazon, fridge was working well but after 3 months it stop working .I complain service engineer visit and after knowing I bought it online . service centre is saying it's due to physical damage. And I have to pay 8000..

If it's like that why we purchase online product..",1.0 out of 5 stars
184,27 September 2017,Vishnukant sharma,,5.0 out of 5 stars
185,18 August 2018,Amazon Customer,"Very pleased with it. Its really light with suprisingly low power rating (60W). In fact so light that with the strong door seal when you open the fridge the whole thing moves. That could also be because its not on firm ground yet so i'm not taking away any stars. The reason for two less stars is because of Samsung customer care (i had a chat with product expert on website), who refused to provide any info on this model thats not listed on their site. Even refused to acknowledge its existence! Regardless, I recommend this fridge for extremely high efficiency - only 198 units / yr and its ability to function on inverter.",3.0 out of 5 stars
186,The manufacturer commented on the review below,Harjinder paul,I upload a photo Samsung 212 L refrigerator this part is mising I completed Samsung care but not salushn,1.0 out of 5 stars
187,6 October 2018,manish Agrawal,"Like:- your minimum price of products range available always.
Dislike:- aapka freeze ki delivery dene aaya Banda sadak par hi freeze patak kar jaane lag rha tha. Aur sirf 1st floor par ghar me rakhwane se mujhe mna kr rha tha. Jab ki aapke offer me installation tak ka charge mujhse already Liya ja Chuka tha. Fir Baad me bahas k Baad me rakhwaya gya.",3.0 out of 5 stars
188,6 October 2018,Francisco,Nobody came for connecting the fridge. So now I have a big box sitting in my kitchen waiting for the technician to plug it in as I was told I can not do it myself.,1.0 out of 5 stars
189,21 December 2018,Monika,I have received the damaged product. The Refrigerator has dents all over its body.,1.0 out of 5 stars
190,20 October 2017,Suresh Kumar,I am using this since a week..for every 10-20 mins it gives sound like small ballon blast..no replacement option.. Contacted SAMSUNG customer service agent visited to check the performance. They said it's a default problem in single door refrigerator..is it so??? Is anyone of you facing the same problem?,1.0 out of 5 stars
191,21 November 2018,Amazon Customer,Very super . Refrigerator as I am expected.. Good from Samsung ... Amazon amazing delivery within 8 hours of order placed never expected delivery high speed... Somewhat heating on sides of refrigerator but it's not complaint it's moisture evaporation... Highly recommended to buy... Love Samsung and Amazon,5.0 out of 5 stars
192,23 September 2018,Biswajeet Rana,"The fridge is good and also saves power and friendly on monthly e-bill, looks neat and also is spacious but one big user-unfriendliness is that after defrost, the water storage container is not easily removable! This is pretty strange as even 20 years old Alwyn fridges or Videocon ones have it simple and detachable. The water dispenser is actually fixed with 2 screws and one has to open it everytime. It is a pain.",2.0 out of 5 stars
193,5 September 2018,Gunjan Pandey,"I bought this product from Amazon, fridge was working well but after 3 months it stop working .I complain service engineer visit and after knowing I bought it online . service centre is saying it's due to physical damage. And I have to pay 8000..

If it's like that why we purchase online product..",1.0 out of 5 stars
194,27 September 2017,Vishnukant sharma,,5.0 out of 5 stars
195,18 August 2018,Amazon Customer,"Very pleased with it. Its really light with suprisingly low power rating (60W). In fact so light that with the strong door seal when you open the fridge the whole thing moves. That could also be because its not on firm ground yet so i'm not taking away any stars. The reason for two less stars is because of Samsung customer care (i had a chat with product expert on website), who refused to provide any info on this model thats not listed on their site. Even refused to acknowledge its existence! Regardless, I recommend this fridge for extremely high efficiency - only 198 units / yr and its ability to function on inverter.",3.0 out of 5 stars
196,The manufacturer commented on the review below,Harjinder paul,I upload a photo Samsung 212 L refrigerator this part is mising I completed Samsung care but not salushn,1.0 out of 5 stars
197,6 October 2018,manish Agrawal,"Like:- your minimum price of products range available always.
Dislike:- aapka freeze ki delivery dene aaya Banda sadak par hi freeze patak kar jaane lag rha tha. Aur sirf 1st floor par ghar me rakhwane se mujhe mna kr rha tha. Jab ki aapke offer me installation tak ka charge mujhse already Liya ja Chuka tha. Fir Baad me bahas k Baad me rakhwaya gya.",3.0 out of 5 stars
198,6 October 2018,Francisco,Nobody came for connecting the fridge. So now I have a big box sitting in my kitchen waiting for the technician to plug it in as I was told I can not do it myself.,1.0 out of 5 stars
199,21 December 2018,Monika,I have received the damaged product. The Refrigerator has dents all over its body.,1.0 out of 5 stars
200,20 October 2017,Suresh Kumar,I am using this since a week..for every 10-20 mins it gives sound like small ballon blast..no replacement option.. Contacted SAMSUNG customer service agent visited to check the performance. They said it's a default problem in single door refrigerator..is it so??? Is anyone of you facing the same problem?,1.0 out of 5 stars
201,21 November 2018,Amazon Customer,Very super . Refrigerator as I am expected.. Good from Samsung ... Amazon amazing delivery within 8 hours of order placed never expected delivery high speed... Somewhat heating on sides of refrigerator but it's not complaint it's moisture evaporation... Highly recommended to buy... Love Samsung and Amazon,5.0 out of 5 stars
202,23 September 2018,Biswajeet Rana,"The fridge is good and also saves power and friendly on monthly e-bill, looks neat and also is spacious but one big user-unfriendliness is that after defrost, the water storage container is not easily removable! This is pretty strange as even 20 years old Alwyn fridges or Videocon ones have it simple and detachable. The water dispenser is actually fixed with 2 screws and one has to open it everytime. It is a pain.",2.0 out of 5 stars
203,5 September 2018,Gunjan Pandey,"I bought this product from Amazon, fridge was working well but after 3 months it stop working .I complain service engineer visit and after knowing I bought it online . service centre is saying it's due to physical damage. And I have to pay 8000..

If it's like that why we purchase online product..",1.0 out of 5 stars
204,27 September 2017,Vishnukant sharma,,5.0 out of 5 stars
205,18 August 2018,Amazon Customer,"Very pleased with it. Its really light with suprisingly low power rating (60W). In fact so light that with the strong door seal when you open the fridge the whole thing moves. That could also be because its not on firm ground yet so i'm not taking away any stars. The reason for two less stars is because of Samsung customer care (i had a chat with product expert on website), who refused to provide any info on this model thats not listed on their site. Even refused to acknowledge its existence! Regardless, I recommend this fridge for extremely high efficiency - only 198 units / yr and its ability to function on inverter.",3.0 out of 5 stars
206,The manufacturer commented on the review below,Harjinder paul,I upload a photo Samsung 212 L refrigerator this part is mising I completed Samsung care but not salushn,1.0 out of 5 stars
207,6 October 2018,manish Agrawal,"Like:- your minimum price of products range available always.
Dislike:- aapka freeze ki delivery dene aaya Banda sadak par hi freeze patak kar jaane lag rha tha. Aur sirf 1st floor par ghar me rakhwane se mujhe mna kr rha tha. Jab ki aapke offer me installation tak ka charge mujhse already Liya ja Chuka tha. Fir Baad me bahas k Baad me rakhwaya gya.",3.0 out of 5 stars
208,6 October 2018,Francisco,Nobody came for connecting the fridge. So now I have a big box sitting in my kitchen waiting for the technician to plug it in as I was told I can not do it myself.,1.0 out of 5 stars
209,21 December 2018,Monika,I have received the damaged product. The Refrigerator has dents all over its body.,1.0 out of 5 stars
210,20 October 2017,Suresh Kumar,I am using this since a week..for every 10-20 mins it gives sound like small ballon blast..no replacement option.. Contacted SAMSUNG customer service agent visited to check the performance. They said it's a default problem in single door refrigerator..is it so??? Is anyone of you facing the same problem?,1.0 out of 5 stars
211,21 November 2018,Amazon Customer,Very super . Refrigerator as I am expected.. Good from Samsung ... Amazon amazing delivery within 8 hours of order placed never expected delivery high speed... Somewhat heating on sides of refrigerator but it's not complaint it's moisture evaporation... Highly recommended to buy... Love Samsung and Amazon,5.0 out of 5 stars
212,23 September 2018,Biswajeet Rana,"The fridge is good and also saves power and friendly on monthly e-bill, looks neat and also is spacious but one big user-unfriendliness is that after defrost, the water storage container is not easily removable! This is pretty strange as even 20 years old Alwyn fridges or Videocon ones have it simple and detachable. The water dispenser is actually fixed with 2 screws and one has to open it everytime. It is a pain.",2.0 out of 5 stars
213,5 September 2018,Gunjan Pandey,"I bought this product from Amazon, fridge was working well but after 3 months it stop working .I complain service engineer visit and after knowing I bought it online . service centre is saying it's due to physical damage. And I have to pay 8000..

If it's like that why we purchase online product..",1.0 out of 5 stars
214,27 September 2017,Vishnukant sharma,,5.0 out of 5 stars
215,18 August 2018,Amazon Customer,"Very pleased with it. Its really light with suprisingly low power rating (60W). In fact so light that with the strong door seal when you open the fridge the whole thing moves. That could also be because its not on firm ground yet so i'm not taking away any stars. The reason for two less stars is because of Samsung customer care (i had a chat with product expert on website), who refused to provide any info on this model thats not listed on their site. Even refused to acknowledge its existence! Regardless, I recommend this fridge for extremely high efficiency - only 198 units / yr and its ability to function on inverter.",3.0 out of 5 stars
216,The manufacturer commented on the review below,Harjinder paul,I upload a photo Samsung 212 L refrigerator this part is mising I completed Samsung care but not salushn,1.0 out of 5 stars
217,6 October 2018,manish Agrawal,"Like:- your minimum price of products range available always.
Dislike:- aapka freeze ki delivery dene aaya Banda sadak par hi freeze patak kar jaane lag rha tha. Aur sirf 1st floor par ghar me rakhwane se mujhe mna kr rha tha. Jab ki aapke offer me installation tak ka charge mujhse already Liya ja Chuka tha. Fir Baad me bahas k Baad me rakhwaya gya.",3.0 out of 5 stars
218,6 October 2018,Francisco,Nobody came for connecting the fridge. So now I have a big box sitting in my kitchen waiting for the technician to plug it in as I was told I can not do it myself.,1.0 out of 5 stars
219,21 December 2018,Monika,I have received the damaged product. The Refrigerator has dents all over its body.,1.0 out of 5 stars
220,20 October 2017,Suresh Kumar,I am using this since a week..for every 10-20 mins it gives sound like small ballon blast..no replacement option.. Contacted SAMSUNG customer service agent visited to check the performance. They said it's a default problem in single door refrigerator..is it so??? Is anyone of you facing the same problem?,1.0 out of 5 stars
221,21 November 2018,Amazon Customer,Very super . Refrigerator as I am expected.. Good from Samsung ... Amazon amazing delivery within 8 hours of order placed never expected delivery high speed... Somewhat heating on sides of refrigerator but it's not complaint it's moisture evaporation... Highly recommended to buy... Love Samsung and Amazon,5.0 out of 5 stars
222,23 September 2018,Biswajeet Rana,"The fridge is good and also saves power and friendly on monthly e-bill, looks neat and also is spacious but one big user-unfriendliness is that after defrost, the water storage container is not easily removable! This is pretty strange as even 20 years old Alwyn fridges or Videocon ones have it simple and detachable. The water dispenser is actually fixed with 2 screws and one has to open it everytime. It is a pain.",2.0 out of 5 stars
223,5 September 2018,Gunjan Pandey,"I bought this product from Amazon, fridge was working well but after 3 months it stop working .I complain service engineer visit and after knowing I bought it online . service centre is saying it's due to physical damage. And I have to pay 8000..

If it's like that why we purchase online product..",1.0 out of 5 stars
224,27 September 2017,Vishnukant sharma,,5.0 out of 5 stars
225,18 August 2018,Amazon Customer,"Very pleased with it. Its really light with suprisingly low power rating (60W). In fact so light that with the strong door seal when you open the fridge the whole thing moves. That could also be because its not on firm ground yet so i'm not taking away any stars. The reason for two less stars is because of Samsung customer care (i had a chat with product expert on website), who refused to provide any info on this model thats not listed on their site. Even refused to acknowledge its existence! Regardless, I recommend this fridge for extremely high efficiency - only 198 units / yr and its ability to function on inverter.",3.0 out of 5 stars
226,The manufacturer commented on the review below,Harjinder paul,I upload a photo Samsung 212 L refrigerator this part is mising I completed Samsung care but not salushn,1.0 out of 5 stars
227,6 October 2018,manish Agrawal,"Like:- your minimum price of products range available always.
Dislike:- aapka freeze ki delivery dene aaya Banda sadak par hi freeze patak kar jaane lag rha tha. Aur sirf 1st floor par ghar me rakhwane se mujhe mna kr rha tha. Jab ki aapke offer me installation tak ka charge mujhse already Liya ja Chuka tha. Fir Baad me bahas k Baad me rakhwaya gya.",3.0 out of 5 stars
228,6 October 2018,Francisco,Nobody came for connecting the fridge. So now I have a big box sitting in my kitchen waiting for the technician to plug it in as I was told I can not do it myself.,1.0 out of 5 stars
229,21 December 2018,Monika,I have received the damaged product. The Refrigerator has dents all over its body.,1.0 out of 5 stars
230,20 October 2017,Suresh Kumar,I am using this since a week..for every 10-20 mins it gives sound like small ballon blast..no replacement option.. Contacted SAMSUNG customer service agent visited to check the performance. They said it's a default problem in single door refrigerator..is it so??? Is anyone of you facing the same problem?,1.0 out of 5 stars
231,21 November 2018,Amazon Customer,Very super . Refrigerator as I am expected.. Good from Samsung ... Amazon amazing delivery within 8 hours of order placed never expected delivery high speed... Somewhat heating on sides of refrigerator but it's not complaint it's moisture evaporation... Highly recommended to buy... Love Samsung and Amazon,5.0 out of 5 stars
232,23 September 2018,Biswajeet Rana,"The fridge is good and also saves power and friendly on monthly e-bill, looks neat and also is spacious but one big user-unfriendliness is that after defrost, the water storage container is not easily removable! This is pretty strange as even 20 years old Alwyn fridges or Videocon ones have it simple and detachable. The water dispenser is actually fixed with 2 screws and one has to open it everytime. It is a pain.",2.0 out of 5 stars
233,5 September 2018,Gunjan Pandey,"I bought this product from Amazon, fridge was working well but after 3 months it stop working .I complain service engineer visit and after knowing I bought it online . service centre is saying it's due to physical damage. And I have to pay 8000..

If it's like that why we purchase online product..",1.0 out of 5 stars
234,27 September 2017,Vishnukant sharma,,5.0 out of 5 stars
235,18 August 2018,Amazon Customer,"Very pleased with it. Its really light with suprisingly low power rating (60W). In fact so light that with the strong door seal when you open the fridge the whole thing moves. That could also be because its not on firm ground yet so i'm not taking away any stars. The reason for two less stars is because of Samsung customer care (i had a chat with product expert on website), who refused to provide any info on this model thats not listed on their site. Even refused to acknowledge its existence! Regardless, I recommend this fridge for extremely high efficiency - only 198 units / yr and its ability to function on inverter.",3.0 out of 5 stars
236,The manufacturer commented on the review below,Harjinder paul,I upload a photo Samsung 212 L refrigerator this part is mising I completed Samsung care but not salushn,1.0 out of 5 stars
237,6 October 2018,manish Agrawal,"Like:- your minimum price of products range available always.
Dislike:- aapka freeze ki delivery dene aaya Banda sadak par hi freeze patak kar jaane lag rha tha. Aur sirf 1st floor par ghar me rakhwane se mujhe mna kr rha tha. Jab ki aapke offer me installation tak ka charge mujhse already Liya ja Chuka tha. Fir Baad me bahas k Baad me rakhwaya gya.",3.0 out of 5 stars
238,6 October 2018,Francisco,Nobody came for connecting the fridge. So now I have a big box sitting in my kitchen waiting for the technician to plug it in as I was told I can not do it myself.,1.0 out of 5 stars
239,21 December 2018,Monika,I have received the damaged product. The Refrigerator has dents all over its body.,1.0 out of 5 stars
240,20 October 2017,Suresh Kumar,I am using this since a week..for every 10-20 mins it gives sound like small ballon blast..no replacement option.. Contacted SAMSUNG customer service agent visited to check the performance. They said it's a default problem in single door refrigerator..is it so??? Is anyone of you facing the same problem?,1.0 out of 5 stars
241,21 November 2018,Amazon Customer,Very super . Refrigerator as I am expected.. Good from Samsung ... Amazon amazing delivery within 8 hours of order placed never expected delivery high speed... Somewhat heating on sides of refrigerator but it's not complaint it's moisture evaporation... Highly recommended to buy... Love Samsung and Amazon,5.0 out of 5 stars
242,23 September 2018,Biswajeet Rana,"The fridge is good and also saves power and friendly on monthly e-bill, looks neat and also is spacious but one big user-unfriendliness is that after defrost, the water storage container is not easily removable! This is pretty strange as even 20 years old Alwyn fridges or Videocon ones have it simple and detachable. The water dispenser is actually fixed with 2 screws and one has to open it everytime. It is a pain.",2.0 out of 5 stars
243,5 September 2018,Gunjan Pandey,"I bought this product from Amazon, fridge was working well but after 3 months it stop working .I complain service engineer visit and after knowing I bought it online . service centre is saying it's due to physical damage. And I have to pay 8000..

If it's like that why we purchase online product..",1.0 out of 5 stars
244,27 September 2017,Vishnukant sharma,,5.0 out of 5 stars
245,18 August 2018,Amazon Customer,"Very pleased with it. Its really light with suprisingly low power rating (60W). In fact so light that with the strong door seal when you open the fridge the whole thing moves. That could also be because its not on firm ground yet so i'm not taking away any stars. The reason for two less stars is because of Samsung customer care (i had a chat with product expert on website), who refused to provide any info on this model thats not listed on their site. Even refused to acknowledge its existence! Regardless, I recommend this fridge for extremely high efficiency - only 198 units / yr and its ability to function on inverter.",3.0 out of 5 stars
246,The manufacturer commented on the review below,Harjinder paul,I upload a photo Samsung 212 L refrigerator this part is mising I completed Samsung care but not salushn,1.0 out of 5 stars
247,6 October 2018,manish Agrawal,"Like:- your minimum price of products range available always.
Dislike:- aapka freeze ki delivery dene aaya Banda sadak par hi freeze patak kar jaane lag rha tha. Aur sirf 1st floor par ghar me rakhwane se mujhe mna kr rha tha. Jab ki aapke offer me installation tak ka charge mujhse already Liya ja Chuka tha. Fir Baad me bahas k Baad me rakhwaya gya.",3.0 out of 5 stars
248,6 October 2018,Francisco,Nobody came for connecting the fridge. So now I have a big box sitting in my kitchen waiting for the technician to plug it in as I was told I can not do it myself.,1.0 out of 5 stars
249,21 December 2018,Monika,I have received the damaged product. The Refrigerator has dents all over its body.,1.0 out of 5 stars
250,20 October 2017,Suresh Kumar,I am using this since a week..for every 10-20 mins it gives sound like small ballon blast..no replacement option.. Contacted SAMSUNG customer service agent visited to check the performance. They said it's a default problem in single door refrigerator..is it so??? Is anyone of you facing the same problem?,1.0 out of 5 stars
251,21 November 2018,Amazon Customer,Very super . Refrigerator as I am expected.. Good from Samsung ... Amazon amazing delivery within 8 hours of order placed never expected delivery high speed... Somewhat heating on sides of refrigerator but it's not complaint it's moisture evaporation... Highly recommended to buy... Love Samsung and Amazon,5.0 out of 5 stars
252,23 September 2018,Biswajeet Rana,"The fridge is good and also saves power and friendly on monthly e-bill, looks neat and also is spacious but one big user-unfriendliness is that after defrost, the water storage container is not easily removable! This is pretty strange as even 20 years old Alwyn fridges or Videocon ones have it simple and detachable. The water dispenser is actually fixed with 2 screws and one has to open it everytime. It is a pain.",2.0 out of 5 stars
253,5 September 2018,Gunjan Pandey,"I bought this product from Amazon, fridge was working well but after 3 months it stop working .I complain service engineer visit and after knowing I bought it online . service centre is saying it's due to physical damage. And I have to pay 8000..

If it's like that why we purchase online product..",1.0 out of 5 stars
254,27 September 2017,Vishnukant sharma,,5.0 out of 5 stars
255,18 August 2018,Amazon Customer,"Very pleased with it. Its really light with suprisingly low power rating (60W). In fact so light that with the strong door seal when you open the fridge the whole thing moves. That could also be because its not on firm ground yet so i'm not taking away any stars. The reason for two less stars is because of Samsung customer care (i had a chat with product expert on website), who refused to provide any info on this model thats not listed on their site. Even refused to acknowledge its existence! Regardless, I recommend this fridge for extremely high efficiency - only 198 units / yr and its ability to function on inverter.",3.0 out of 5 stars
256,The manufacturer commented on the review below,Harjinder paul,I upload a photo Samsung 212 L refrigerator this part is mising I completed Samsung care but not salushn,1.0 out of 5 stars
257,6 October 2018,manish Agrawal,"Like:- your minimum price of products range available always.
Dislike:- aapka freeze ki delivery dene aaya Banda sadak par hi freeze patak kar jaane lag rha tha. Aur sirf 1st floor par ghar me rakhwane se mujhe mna kr rha tha. Jab ki aapke offer me installation tak ka charge mujhse already Liya ja Chuka tha. Fir Baad me bahas k Baad me rakhwaya gya.",3.0 out of 5 stars
258,6 October 2018,Francisco,Nobody came for connecting the fridge. So now I have a big box sitting in my kitchen waiting for the technician to plug it in as I was told I can not do it myself.,1.0 out of 5 stars
259,21 December 2018,Monika,I have received the damaged product. The Refrigerator has dents all over its body.,1.0 out of 5 stars
260,20 October 2017,Suresh Kumar,I am using this since a week..for every 10-20 mins it gives sound like small ballon blast..no replacement option.. Contacted SAMSUNG customer service agent visited to check the performance. They said it's a default problem in single door refrigerator..is it so??? Is anyone of you facing the same problem?,1.0 out of 5 stars
261,21 November 2018,Amazon Customer,Very super . Refrigerator as I am expected.. Good from Samsung ... Amazon amazing delivery within 8 hours of order placed never expected delivery high speed... Somewhat heating on sides of refrigerator but it's not complaint it's moisture evaporation... Highly recommended to buy... Love Samsung and Amazon,5.0 out of 5 stars
262,23 September 2018,Biswajeet Rana,"The fridge is good and also saves power and friendly on monthly e-bill, looks neat and also is spacious but one big user-unfriendliness is that after defrost, the water storage container is not easily removable! This is pretty strange as even 20 years old Alwyn fridges or Videocon ones have it simple and detachable. The water dispenser is actually fixed with 2 screws and one has to open it everytime. It is a pain.",2.0 out of 5 stars
263,5 September 2018,Gunjan Pandey,"I bought this product from Amazon, fridge was working well but after 3 months it stop working .I complain service engineer visit and after knowing I bought it online . service centre is saying it's due to physical damage. And I have to pay 8000..

If it's like that why we purchase online product..",1.0 out of 5 stars
264,27 September 2017,Vishnukant sharma,,5.0 out of 5 stars
265,18 August 2018,Amazon Customer,"Very pleased with it. Its really light with suprisingly low power rating (60W). In fact so light that with the strong door seal when you open the fridge the whole thing moves. That could also be because its not on firm ground yet so i'm not taking away any stars. The reason for two less stars is because of Samsung customer care (i had a chat with product expert on website), who refused to provide any info on this model thats not listed on their site. Even refused to acknowledge its existence! Regardless, I recommend this fridge for extremely high efficiency - only 198 units / yr and its ability to function on inverter.",3.0 out of 5 stars
266,The manufacturer commented on the review below,Harjinder paul,I upload a photo Samsung 212 L refrigerator this part is mising I completed Samsung care but not salushn,1.0 out of 5 stars
267,6 October 2018,manish Agrawal,"Like:- your minimum price of products range available always.
Dislike:- aapka freeze ki delivery dene aaya Banda sadak par hi freeze patak kar jaane lag rha tha. Aur sirf 1st floor par ghar me rakhwane se mujhe mna kr rha tha. Jab ki aapke offer me installation tak ka charge mujhse already Liya ja Chuka tha. Fir Baad me bahas k Baad me rakhwaya gya.",3.0 out of 5 stars
268,6 October 2018,Francisco,Nobody came for connecting the fridge. So now I have a big box sitting in my kitchen waiting for the technician to plug it in as I was told I can not do it myself.,1.0 out of 5 stars
269,21 December 2018,Monika,I have received the damaged product. The Refrigerator has dents all over its body.,1.0 out of 5 stars
270,20 October 2017,Suresh Kumar,I am using this since a week..for every 10-20 mins it gives sound like small ballon blast..no replacement option.. Contacted SAMSUNG customer service agent visited to check the performance. They said it's a default problem in single door refrigerator..is it so??? Is anyone of you facing the same problem?,1.0 out of 5 stars
271,21 November 2018,Amazon Customer,Very super . Refrigerator as I am expected.. Good from Samsung ... Amazon amazing delivery within 8 hours of order placed never expected delivery high speed... Somewhat heating on sides of refrigerator but it's not complaint it's moisture evaporation... Highly recommended to buy... Love Samsung and Amazon,5.0 out of 5 stars
272,23 September 2018,Biswajeet Rana,"The fridge is good and also saves power and friendly on monthly e-bill, looks neat and also is spacious but one big user-unfriendliness is that after defrost, the water storage container is not easily removable! This is pretty strange as even 20 years old Alwyn fridges or Videocon ones have it simple and detachable. The water dispenser is actually fixed with 2 screws and one has to open it everytime. It is a pain.",2.0 out of 5 stars
273,5 September 2018,Gunjan Pandey,"I bought this product from Amazon, fridge was working well but after 3 months it stop working .I complain service engineer visit and after knowing I bought it online . service centre is saying it's due to physical damage. And I have to pay 8000..

If it's like that why we purchase online product..",1.0 out of 5 stars
274,27 September 2017,Vishnukant sharma,,5.0 out of 5 stars
275,18 August 2018,Amazon Customer,"Very pleased with it. Its really light with suprisingly low power rating (60W). In fact so light that with the strong door seal when you open the fridge the whole thing moves. That could also be because its not on firm ground yet so i'm not taking away any stars. The reason for two less stars is because of Samsung customer care (i had a chat with product expert on website), who refused to provide any info on this model thats not listed on their site. Even refused to acknowledge its existence! Regardless, I recommend this fridge for extremely high efficiency - only 198 units / yr and its ability to function on inverter.",3.0 out of 5 stars
276,The manufacturer commented on the review below,Harjinder paul,I upload a photo Samsung 212 L refrigerator this part is mising I completed Samsung care but not salushn,1.0 out of 5 stars
277,6 October 2018,manish Agrawal,"Like:- your minimum price of products range available always.
Dislike:- aapka freeze ki delivery dene aaya Banda sadak par hi freeze patak kar jaane lag rha tha. Aur sirf 1st floor par ghar me rakhwane se mujhe mna kr rha tha. Jab ki aapke offer me installation tak ka charge mujhse already Liya ja Chuka tha. Fir Baad me bahas k Baad me rakhwaya gya.",3.0 out of 5 stars
278,6 October 2018,Francisco,Nobody came for connecting the fridge. So now I have a big box sitting in my kitchen waiting for the technician to plug it in as I was told I can not do it myself.,1.0 out of 5 stars
279,21 December 2018,Monika,I have received the damaged product. The Refrigerator has dents all over its body.,1.0 out of 5 stars
280,20 October 2017,Suresh Kumar,I am using this since a week..for every 10-20 mins it gives sound like small ballon blast..no replacement option.. Contacted SAMSUNG customer service agent visited to check the performance. They said it's a default problem in single door refrigerator..is it so??? Is anyone of you facing the same problem?,1.0 out of 5 stars
281,21 November 2018,Amazon Customer,Very super . Refrigerator as I am expected.. Good from Samsung ... Amazon amazing delivery within 8 hours of order placed never expected delivery high speed... Somewhat heating on sides of refrigerator but it's not complaint it's moisture evaporation... Highly recommended to buy... Love Samsung and Amazon,5.0 out of 5 stars
282,23 September 2018,Biswajeet Rana,"The fridge is good and also saves power and friendly on monthly e-bill, looks neat and also is spacious but one big user-unfriendliness is that after defrost, the water storage container is not easily removable! This is pretty strange as even 20 years old Alwyn fridges or Videocon ones have it simple and detachable. The water dispenser is actually fixed with 2 screws and one has to open it everytime. It is a pain.",2.0 out of 5 stars
283,5 September 2018,Gunjan Pandey,"I bought this product from Amazon, fridge was working well but after 3 months it stop working .I complain service engineer visit and after knowing I bought it online . service centre is saying it's due to physical damage. And I have to pay 8000..

If it's like that why we purchase online product..",1.0 out of 5 stars
284,27 September 2017,Vishnukant sharma,,5.0 out of 5 stars
285,18 August 2018,Amazon Customer,"Very pleased with it. Its really light with suprisingly low power rating (60W). In fact so light that with the strong door seal when you open the fridge the whole thing moves. That could also be because its not on firm ground yet so i'm not taking away any stars. The reason for two less stars is because of Samsung customer care (i had a chat with product expert on website), who refused to provide any info on this model thats not listed on their site. Even refused to acknowledge its existence! Regardless, I recommend this fridge for extremely high efficiency - only 198 units / yr and its ability to function on inverter.",3.0 out of 5 stars
286,The manufacturer commented on the review below,Harjinder paul,I upload a photo Samsung 212 L refrigerator this part is mising I completed Samsung care but not salushn,1.0 out of 5 stars
